scene_index,scene_id,bank_id,city_id,role,bank_index_within_city,base_map_cluster_id,canonical_base_map_sha256,scene_xml_sha256,bank_record_sha256,verification_status
10,osm-sionna-source-chicago-bank-05,osm-sionna-source-chicago-bank-05,source-chicago,source_calibration_selection,5,osm-foundation-source-chicago-05,8d010a2209a60c6580837d17ebc268f04b9635a5433697fbcf99e6ef463479d0,ebac2cbe4a2fcfbbeac8a31d1d0366a1f2f60387f5e5b5414007d1eee0b9d744,9f4f6dcb087a737d569200a6363b7c9ad6b0be14c65b05d07e47be99ed7723f4,PASS
11,osm-sionna-source-austin-bank-05,osm-sionna-source-austin-bank-05,source-austin,source_calibration_selection,5,osm-foundation-source-austin-05,1b07fd089bea0d5d3e8c6e57bda9df59f0b8dda02e8370919bb57b48f07f7be1,ebac2cbe4a2fcfbbeac8a31d1d0366a1f2f60387f5e5b5414007d1eee0b9d744,8128a7cd8ea5cb5b1aff0e4c26735673609791ab80628f5b26d2c64629572186,PASS
12,osm-sionna-source-chicago-bank-06,osm-sionna-source-chicago-bank-06,source-chicago,source_final_unseen_bank,6,osm-foundation-source-chicago-06,5801f59243e5e326ea4ac704bb729871c9156fd7ab03fb9f6ab6f45282ff2326,ebac2cbe4a2fcfbbeac8a31d1d0366a1f2f60387f5e5b5414007d1eee0b9d744,1f66eae9346df1e84e9b5101997ae95f8a39cf325f81d9521a53bcd776c5a906,PASS
13,osm-sionna-source-austin-bank-06,osm-sionna-source-austin-bank-06,source-austin,source_final_unseen_bank,6,osm-foundation-source-austin-06,f5da7fa7c9cd96c1e4446eee544872ceeb41d437e08558c2ddada10ac75f7a21,ebac2cbe4a2fcfbbeac8a31d1d0366a1f2f60387f5e5b5414007d1eee0b9d744,7f12eda93b13c99d6c8f223e7e9f565af82f7d4844ff79d7ca8235e2140447f8,PASS
14,osm-sionna-target-seattle-bank-00,osm-sionna-target-seattle-bank-00,target-seattle,target,0,osm-foundation-target-seattle-00,709b2215d4272dbdcd17039745d81069c22bb655c8a2d2973df22ed299e2d924,ebac2cbe4a2fcfbbeac8a31d1d0366a1f2f60387f5e5b5414007d1eee0b9d744,a02f9caeda6cf503639a8eae88c2429a9cf896bebe8b6490072c1e7bd7a52481,PASS
15,osm-sionna-target-seattle-bank-01,osm-sionna-target-seattle-bank-01,target-seattle,target,1,osm-foundation-target-seattle-01,58556d9fbe3a82248fd13adb293205c9a60fc36e2d673ca49b7b729b04b96cfb,ebac2cbe4a2fcfbbeac8a31d1d0366a1f2f60387f5e5b5414007d1eee0b9d744,a030e6e22f39de43b25b3c2d00fce68e72795d3c64622e9901eafc0a5ea1254d,PASS
16,osm-sionna-target-seattle-bank-02,osm-sionna-target-seattle-bank-02,target-seattle,target,2,osm-foundation-target-seattle-02,b4b076af73fe3707cf7fbce636b3245f5d4c045a72c8cc0cfe775fb135c03997,ebac2cbe4a2fcfbbeac8a31d1d0366a1f2f60387f5e5b5414007d1eee0b9d744,90e4b7aa0016342771f21c7d5e210f41986f008f96cbf633f22f5182ce3ef39a,PASS
17,osm-sionna-target-seattle-bank-03,osm-sionna-target-seattle-bank-03,target-seattle,target,3,osm-foundation-target-seattle-03,e09ae2349da837ccc11c3741285bd94978434fc5fb33b2f67030df3e13bf8832,ebac2cbe4a2fcfbbeac8a31d1d0366a1f2f60387f5e5b5414007d1eee0b9d744,cf72e6087c2c3e4e8950e4ee124a28fe68db4714f40d5dd2690d8423fe5074d4,PASS
18,osm-sionna-target-seattle-bank-04,osm-sionna-target-seattle-bank-04,target-seattle,target,4,osm-foundation-target-seattle-04,2e30c44b6dee00a6e1bc77c7de8afe83747b8c619b75cff994e6eb40f3cf747f,ebac2cbe4a2fcfbbeac8a31d1d0366a1f2f60387f5e5b5414007d1eee0b9d744,32368845d0e3aebef3dacd0b865686d7fffdcddc19a4fe2b4cebf307c4f470a0,PASS
19,osm-sionna-target-seattle-bank-05,osm-sionna-target-seattle-bank-05,target-seattle,target,5,osm-foundation-target-seattle-05,ff74bd5bfa4f14ebd53e1337920e55879088660b13e57c9b537b316c57e5a211,ebac2cbe4a2fcfbbeac8a31d1d0366a1f2f60387f5e5b5414007d1eee0b9d744,27494b500a8f97ad8c990bab77c3c19c4a032cedbc5f8ac421919a227c189d20,PASS
20,osm-sionna-target-seattle-bank-06,osm-sionna-target-seattle-bank-06,target-seattle,target,6,osm-foundation-target-seattle-06,a1e143612cccf50b8b2602b452461f400b6237f7e569e139089532f88787db64,ebac2cbe4a2fcfbbeac8a31d1d0366a1f2f60387f5e5b5414007d1eee0b9d744,2a761af8f89c48a072786d583958d122ba3965ff9753fb7054f52cff3412475d,PASS
21,osm-sionna-target-seattle-bank-07,osm-sionna-target-seattle-bank-07,target-seattle,target,7,osm-foundation-target-seattle-07,ed43b44121ed27a356bc8106a6b45244112b25a45b7bb60d0d994df65395340a,ebac2cbe4a2fcfbbeac8a31d1d0366a1f2f60387f5e5b5414007d1eee0b9d744,2d42c7125988877139ab08e8ebac31b588921da0746d5eb408278a5f5053daea,PASS
22,osm-sionna-target-boston-bank-00,osm-sionna-target-boston-bank-00,target-boston,target,0,osm-foundation-target-boston-00,fd69946740366fe6540d9b89f5475eb8bfcf2165c8004aaf322260b6bfe301d2,ebac2cbe4a2fcfbbeac8a31d1d0366a1f2f60387f5e5b5414007d1eee0b9d744,72d326a39817d3729649738e8517928ddd4a52efac6bc0fa2fc90f0fdacc5177,PASS
23,osm-sionna-target-boston-bank-01,osm-sionna-target-boston-bank-01,target-boston,target,1,osm-foundation-target-boston-01,74b69616f3cb3e6a39d012f9500b6b5726d2113035eef80f457b8289aecbc894,ebac2cbe4a2fcfbbeac8a31d1d0366a1f2f60387f5e5b5414007d1eee0b9d744,cc3723ee16b4089c899aaa7bdf5c619aa78e3ac9a892232778470ed265f31439,PASS
24,osm-sionna-target-boston-bank-02,osm-sionna-target-boston-bank-02,target-boston,target,2,osm-foundation-target-boston-02,08f55507d8292e515a01fe1e76980e2f469605b768dbe99e39ad59aa6158a93d,ebac2cbe4a2fcfbbeac8a31d1d0366a1f2f60387f5e5b5414007d1eee0b9d744,422ee2b3f2eec33bc40e21a97f8552b58a9ab06ae69eb78a889b904d8bf2a889,PASS
25,osm-sionna-target-boston-bank-03,osm-sionna-target-boston-bank-03,target-boston,target,3,osm-foundation-target-boston-03,11bfa5704a49613b4c107375a8289336904031ef2b649b16ba39a6fec3463928,ebac2cbe4a2fcfbbeac8a31d1d0366a1f2f60387f5e5b5414007d1eee0b9d744,d65a197aedd1fa458e831a0b700ccdae2e9b261f2085fc46c16a532b89a531ce,PASS
26,osm-sionna-target-boston-bank-04,osm-sionna-target-boston-bank-04,target-boston,target,4,osm-foundation-target-boston-04,c7f0f83a4e6e174d64d0ffa82eab13788542b707ee006951fa39956705ed6edd,ebac2cbe4a2fcfbbeac8a31d1d0366a1f2f60387f5e5b5414007d1eee0b9d744,e653c1e17f8249662c84ee86153f9b3a3b36151ed7e15151939e683053ac9664,PASS
27,osm-sionna-target-boston-bank-05,osm-sionna-target-boston-bank-05,target-boston,target,5,osm-foundation-target-boston-05,7404730210504e245a35a13c4ebb785632777d0f226bdaa892a4ecedb0c0b5ca,ebac2cbe4a2fcfbbeac8a31d1d0366a1f2f60387f5e5b5414007d1eee0b9d744,73c271493e5c9dc0d2b366f83a4d3ea3799a1cf113151ca6e6bebee66f049851,PASS
28,osm-sionna-target-boston-bank-06,osm-sionna-target-boston-bank-06,target-boston,target,6,osm-foundation-target-boston-06,ee43ecb9c071b8835c7aeb78bd39ca2731833dd9c567b18b53dac17f069bf71a,ebac2cbe4a2fcfbbeac8a31d1d0366a1f2f60387f5e5b5414007d1eee0b9d744,7a713cd5be92b60c5e6b6896cb53bffa30dd3d522e4a8f5f0722373d79ee694f,PASS
29,osm-sionna-target-boston-bank-07,osm-sionna-target-boston-bank-07,target-boston,target,7,osm-foundation-target-boston-07,9e0c8dc07f4b6ded8d514cc8c72f41bfaf470fd4436525569e61a3ae0d94f187,ebac2cbe4a2fcfbbeac8a31d1d0366a1f2f60387f5e5b5414007d1eee0b9d744,fe23526f6ed809b290530b622a8b95e518e1cb326be75440e0f29a2a97a6ee83,PASS
30,osm-sionna-external-denver-bank-00,osm-sionna-external-denver-bank-00,external-denver,external_validation,0,osm-foundation-external-denver-00,cdfbc98f59376c06c75da4187273111b0ce4d40a99acb1641480a0f2d6a3ae9d,ebac2cbe4a2fcfbbeac8a31d1d0366a1f2f60387f5e5b5414007d1eee0b9d744,3a7cb7b7f537e1ba6b78ce343d0c3925075574d9462efdd26db064ad0e01ea02,PASS
31,osm-sionna-external-denver-bank-01,osm-sionna-external-denver-bank-01,external-denver,external_validation,1,osm-foundation-external-denver-01,ca67d25753b80fd2f860a9341277ef6dd3584412dde11158abe528ece4b76c7b,ebac2cbe4a2fcfbbeac8a31d1d0366a1f2f60387f5e5b5414007d1eee0b9d744,be8a66935890b06382674898b679597235267db9185652282f9ee2e01763535e,PASS
32,osm-sionna-external-miami-bank-00,osm-sionna-external-miami-bank-00,external-miami,external_validation,0,osm-foundation-external-miami-00,99106c338acf01226cfafeac815f9ff743038ecf2c0350187bd3ce78e56d0005,ebac2cbe4a2fcfbbeac8a31d1d0366a1f2f60387f5e5b5414007d1eee0b9d744,44feddd1415c6d81ecbf7d4a0ddc227f400648cccce1e2a7cadbba447efacf28,PASS
33,osm-sionna-external-miami-bank-01,osm-sionna-external-miami-bank-01,external-miami,external_validation,1,osm-foundation-external-miami-01,eade30247d5c97bf35d2bd839f2233c0723f3e1dc8edbcef443dbd8dad3a0416,ebac2cbe4a2fcfbbeac8a31d1d0366a1f2f60387f5e5b5414007d1eee0b9d744,15872635bbce7cce1f2cd1c9fbbeb54c40503f2b00b8a356f5eae00e70f8c8dd,PASS
